RGIId,AAR_mean,AAR_steady,disequilibrium
RGI60-13.01209,0.5171252,0.583305404,0.886542789
RGI60-13.01211,0.648756563,0.589888446,1.099795339
RGI60-13.01215,0.672200555,0.608321061,1.105009507
RGI60-13.01228,0.522382765,,
RGI60-13.01231,0.509105792,0.558085728,0.912235821
RGI60-13.01232,0.488811219,0.439829754,1.111364603
RGI60-13.01233,0.593956674,0.652639367,0.910084043
RGI60-13.01235,0.422180258,0.414381071,1.018821291
RGI60-13.01242,0.316023021,0.639963226,0.493814344
RGI60-13.01245,0.925957407,0.9495433,0.975160803
RGI60-13.01255,0.622865446,0.442760248,1.406778158
RGI60-13.01259,0.850593279,0.82534875,1.030586499
RGI60-13.01260,0.61033602,0.31678162,1.926677501
RGI60-13.01262,0.321456547,0.253392277,1.268612249
RGI60-13.01264,0.702281658,0.702987745,0.998995592
RGI60-13.01265,0.591611511,0.847249472,0.698273095
RGI60-13.01267,0.501546702,0.556862058,0.900665964
RGI60-13.01268,0.498984732,0.562808629,0.886597515
RGI60-13.01275,0.551029509,,
RGI60-13.01285,0.630396326,0.650292526,0.969404232
RGI60-13.01296,0.599147953,0.441799253,1.356154293
RGI60-13.01297,0.591130263,,
RGI60-13.01298,0.765135903,0.463698348,1.650072524
RGI60-13.01301,0.406796974,0.380030133,1.070433471
RGI60-13.01302,0.69914162,0.510759969,1.368826186
RGI60-13.01307,0.529619682,0.398171035,1.330131114
RGI60-13.01309,0.651146547,0.483504059,1.346724054
RGI60-13.01316,0.454070862,0.346772513,1.309419993
RGI60-13.01317,0.479226849,0.448627417,1.068206781
RGI60-13.01319,0.896049742,0.906674826,0.988281262
RGI60-13.01323,0.211313057,0.420306569,0.50275935
RGI60-13.01325,0.44442164,0.407271104,1.091218197
RGI60-13.01326,0.350392263,0.450169752,0.778355856
RGI60-13.01328,0.537715951,0.619745173,0.867640401
RGI60-13.01329,0.675306631,0.671037926,1.006361348
RGI60-13.01332,0.683387442,0.40040769,1.706729064
RGI60-13.01333,0.48779283,0.311801656,1.564433097
RGI60-13.01334,0.410826023,0.338256336,1.214540509
RGI60-13.01335,0.548431112,0.659728133,0.831298658
RGI60-13.01336,0.504047703,0.684945376,0.735894745
RGI60-13.01337,0.421213311,0.620810757,0.678489066
RGI60-13.01339,0.666056489,0.764352763,0.871399334
RGI60-13.01340,0.510962295,0.299646251,1.705218379
RGI60-13.01341,0.583311951,0.871527646,0.669298277
RGI60-13.01350,0.455249847,0.3114136,1.46188171
RGI60-13.01352,0.785588063,0.516656043,1.52052429
RGI60-13.01357,0.61299571,0.566590795,1.081901993
RGI60-13.01358,0.578129341,0.547425861,1.056087011
RGI60-13.01359,0.482047631,0.254141865,1.89676593
RGI60-13.01363,0.467223146,0.447690904,1.043628857
RGI60-13.01369,0.426827554,0.536555076,0.795496256
RGI60-13.01370,0.572337326,0.636277869,0.89950846
RGI60-13.01373,0.113496312,0.18137586,0.625752027
RGI60-13.01375,0.848183504,0.739727909,1.146615524
RGI60-13.01377,0.564495166,0.809536949,0.69730624
RGI60-13.01378,0.916131194,0.86014715,1.06508659
RGI60-13.01381,0.417483542,,
RGI60-13.01383,0.242447463,0.376019997,0.64477279
RGI60-13.01391,0.35972185,0.486865611,0.738852452
RGI60-13.01392,0.383150064,0.393053093,0.974804857
RGI60-13.01393,0.945188743,0.936214996,1.009585135
RGI60-13.01394,0.63687686,0.688106834,0.925549389
RGI60-13.01396,0.728751124,0.695715062,1.047485046
RGI60-13.01397,0.722256714,0.532117394,1.357325888
RGI60-13.01400,0.435257024,0.332123555,1.310527415
RGI60-13.01401,0.591617674,0.619646305,0.954766726
RGI60-13.01403,0.588500869,0.613739279,0.958877635
RGI60-13.01405,0.666114157,0.349889215,1.90378591
RGI60-13.01407,0.65262067,0.707859597,0.921963442
RGI60-13.01409,0.561646353,0.596796618,0.941101769
RGI60-13.01410,0.331748777,0.344114489,0.964065122
RGI60-13.01415,0.910594638,0.908424939,1.002388418
RGI60-13.01417,0.10378606,0.217469848,0.477243446
RGI60-13.01418,0.856500657,0.410254341,2.087730879
RGI60-13.01419,0.508482116,0.487957118,1.042063118
RGI60-13.01420,0.512579399,0.567260634,0.903604743
RGI60-13.01424,0.644968622,0.677223579,0.952371774
RGI60-13.01428,0.406615472,0.498278273,0.816040943
RGI60-13.01430,0.718926284,0.726955828,0.988954565
RGI60-13.01431,0.786961139,0.777861832,1.011697845
RGI60-13.01432,0.475213621,0.502434333,0.945822349
RGI60-13.01433,0.963433092,,
RGI60-13.01434,0.651554699,0.537417806,1.212380183
RGI60-13.01436,0.567163592,0.641825681,0.883672326
RGI60-13.01443,0.463515214,0.527389508,0.878885921
RGI60-13.01448,0.415558149,0.530892046,0.78275452
RGI60-13.01451,0.97282076,0.196388628,4.953549346
RGI60-13.01454,0.977605471,,
RGI60-13.01456,0.545920415,0.581691907,0.938504402
RGI60-13.01458,0.406031673,0.477351877,0.850591969
RGI60-13.01460,0.418471043,,
RGI60-13.01461,0.264618789,0.368118794,0.718840748
RGI60-13.01464,0.916046443,0.924411824,0.990950591
RGI60-13.01467,0.765898734,0.608453273,1.258763438
RGI60-13.01469,0.648530558,0.756136525,0.857689764
RGI60-13.01473,0.685969448,0.781308658,0.877974973
RGI60-13.01474,0.691511876,0.534671647,1.293339342
RGI60-13.01475,0.776187437,0.804764036,0.964490711
RGI60-13.01478,0.478797644,0.452810805,1.05739006
RGI60-13.01480,0.608196342,0.558728308,1.08853683
RGI60-13.01487,0.900668107,0.53609618,1.680049479
RGI60-13.01492,0.499564579,0.543999462,0.918318147
RGI60-13.01496,0.560069273,0.483259757,1.158940436
RGI60-13.01498,0.711118897,0.759655899,0.936106595
RGI60-13.01500,0.369230791,0.401296134,0.920095562
